date_mutation,valeur_fonciere,code_postal,nom_commune,surface_carrez,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2014-01-31,318000.0,44300,Nantes,,Maison,105.0,4,251.0,-1.526234,47.266857
2014-01-29,203000.0,44300,Nantes,,Maison,80.0,5,290.0,-1.565297,47.253814
2014-01-20,501000.0,44000,Nantes,,Appartement,128.0,5,,-1.566765,47.215037
2014-01-14,44100.0,44100,Nantes,18.45,Appartement,18.0,1,,-1.584726,47.198363
2014-01-13,114560.0,44300,Nantes,,Appartement,44.0,2,,-1.540758,47.240641
2014-01-20,175000.0,44000,Nantes,,Appartement,5.0,0,,-1.55644,47.216727
2014-01-20,175000.0,44000,Nantes,83.72,Appartement,95.0,0,,-1.55644,47.216727
2014-01-17,235000.0,44300,Nantes,,Maison,110.0,5,260.0,-1.528842,47.240365000000004
2014-01-31,250000.0,44300,Nantes,,Maison,104.0,5,161.0,-1.571338,47.248988
2014-01-30,344500.0,44000,Nantes,,Appartement,1.0,0,,-1.554079,47.2156
2014-01-30,344500.0,44000,Nantes,,Appartement,113.0,5,,-1.554079,47.2156
2014-02-06,138000.0,44000,Nantes,,Appartement,59.0,3,,-1.583043,47.222195
2014-01-16,86000.0,44000,Nantes,29.58,Appartement,30.0,1,,-1.53121,47.23076
2014-01-22,620000.0,44300,Nantes,,Maison,197.0,7,317.0,-1.570199,47.231575
2014-01-24,65000.0,44100,Nantes,18.77,Appartement,18.0,1,,-1.570238,47.211446
2014-01-07,155000.0,44610,Indre,,Maison,58.0,3,147.0,-1.6761529999999998,47.20029
2014-01-16,144000.0,44000,Nantes,48.29,Appartement,50.0,2,,-1.553074,47.21715
2014-01-27,53000.0,44200,Nantes,,Appartement,18.0,1,,-1.553868,47.206903000000004
2014-01-11,372000.0,44800,Saint-Herblain,,Maison,156.0,5,505.0,-1.615377,47.228828
2014-01-29,165000.0,44100,Nantes,,Maison,61.0,3,280.0,-1.596271,47.201115
2014-01-10,105000.0,44000,Nantes,49.79,Appartement,40.0,2,,-1.5648790000000001,47.210021000000005
2014-01-16,75000.0,44000,Nantes,28.64,Appartement,29.0,1,,-1.5555299999999999,47.216214
2014-01-30,335000.0,44100,Nantes,,Maison,115.0,6,279.0,-1.580491,47.232739
2014-02-05,230000.0,44100,Nantes,,Maison,70.0,3,111.0,-1.587094,47.219840999999995
2014-02-05,178000.0,44800,Saint-Herblain,73.8,Appartement,74.0,4,,-1.644254,47.207462
2014-01-30,160000.0,44100,Nantes,,Maison,44.0,3,233.0,-1.5915110000000001,47.203213
2014-01-31,305400.0,44300,Nantes,,Maison,105.0,5,524.0,-1.527097,47.233255
2014-01-24,62000.0,44000,Nantes,22.59,Appartement,27.0,1,,-1.576811,47.222139
